Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Ooltewah Springs-Chattanooga,2 Queen Suite,"15,030"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Ooltewah Springs-Chattanooga,STANDARD ROOM,"18,211"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express: Ringgold (Chattanooga Area),1 King Bed Standard,"10,099"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express: Ringgold (Chattanooga Area),2 Queen Beds Standard,"10,099"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express: Ringgold (Chattanooga Area),Standard Room,"10,099"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Kimball,1 King Standard,"11,451"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Kimball,2 Queen Standard,"11,849"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Kimball,Standard Room,"12,644"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Kimball,1 King Suite Additional Living Area,"13,439"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn: Cleveland,1 King Bed Standard Sofa Bed,"10,656"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn: Cleveland,1 King Bed Standard With Trundle Bed,"11,451"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn: Cleveland,2 Queen Beds Standard,"11,451"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn: Cleveland,STANDARD ROOM,"11,849"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn: Cleveland,1 King Bed Suite With Sofa Bed,"12,644"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn: Cleveland,1 King Bed 1 Bdrm Suite With Living Area,"13,837"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Dalton - Market St,1 King Standard,"11,849"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Dalton - Market St,2 Queen Standard,"11,849"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Dalton - Market St,2 Queen Suite,"13,439"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Dalton - Market St,1 King Suite,"13,439"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Dalton - Market St,Standard Room,"13,439"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,1 King Bed Standard,"11,849"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,1 King Bed Standard Extra Floor Space,"13,837"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,2 Queen Beds Standard,"13,837"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,1 King Bed Suite Additional Living Area,"13,837"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,2 Queen Beds Suite Addl Living Area,"14,235"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,1 King Bed Suite Extra Floor Space,"14,235"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,Standard Room,"14,235"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Cleveland Northwest,2 Queen Beds 1 Bedroom Suite,"15,825"
